"Southeast.Winds","Northeast.Winds","Abundance"
0.35,-1.75,0.00253181736011353
0.4,-1.75,0.00257212678794509
0.45,-1.75,0.00261219627411348
0.5,-1.75,0.00265199482932825
0.55,-1.75,0.0026914912632425
0.6,-1.75,0.00273065422380374
0.65,-1.75,0.00276945223747218
0.7,-1.75,0.00280785375023758
0.75,-1.75,0.00284582716936243
0.8,-1.75,0.00288334090577684
0.85,-1.75,0.00292036341704775
0.9,-1.75,0.00295686325084253
0.95,-1.75,0.00299280908880518
1,-1.75,0.00302816979076073
1.05,-1.75,0.00306291443916223
1.1,-1.75,0.00309701238369251
1.15,-1.75,0.00313043328593187
1.2,-1.75,0.00316314716400148
1.25,-1.75,0.00319512443709136
1.3,-1.75,0.00322633596978103
1.35,-1.75,0.00325675311606062
1.4,-1.75,0.00328634776295968
1.45,-1.75,0.00331509237369122
1.5,-1.75,0.00334296003021872
1.55,-1.75,0.00336992447515415
1.6,-1.75,0.00339596015289612
1.65,-1.75,0.00342104224991815
1.7,-1.75,0.0034451467341182
1.75,-1.75,0.00346825039314236
1.8,-1.75,0.00349033087159727
1.85,-1.75,0.00351136670706783
1.9,-1.75,0.00353133736485894
1.95,-1.75,0.00355022327138287
2,-1.75,0.00356800584611593
-2,-1.7,0.000858967716636973
-1.95,-1.7,0.000886491262366421
-1.9,-1.7,0.000914588026003944
-1.85,-1.7,0.000943256913824365
-1.8,-1.7,0.000972496209423684
-1.75,-1.7,0.0010023035565552
-1.7,-1.7,0.00103267594252678
-1.65,-1.7,0.00106360968221071
-1.6,-1.7,0.00109510040271784
-1.55,-1.7,0.0011271430287876
-1.5,-1.7,0.00115973176894534
-1.45,-1.7,0.00119286010247816
-1.4,-1.7,0.00122652076727988
-1.35,-1.7,0.0012607057486153
-1.3,-1.7,0.001295406268853
-1.25,-1.7,0.00133061277821511
-1.2,-1.7,0.00136631494659142
-1.15,-1.7,0.00140250165646383
-1.1,-1.7,0.00143916099698585
-1.05,-1.7,0.00147628025926038
-1,-1.7,0.00151384593285705
-0.95,-1.7,0.00155184370360866
-0.9,-1.7,0.00159025845272442
-0.85,-1.7,0.00162907425725498
-0.8,-1.7,0.0016682743919426
-0.75,-1.7,0.00170784133248656
-0.7,-1.7,0.00174775676025203
-0.65,-1.7,0.00178800156844716
-0.6,-1.7,0.00182855586979081
-0.55,-1.7,0.0018693990056899
-0.5,-1.7,0.00191050955694235
-0.45,-1.7,0.0019518653559784
-0.4,-1.7,0.00199344350064955
-0.35,-1.7,0.00203522036957088
-0.3,-1.7,0.00207717163901902
